Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-31.0742, 150.8362]",2020,7,1,18.5
"[-31.0742, 150.8362]",2020,7,2,21.3
"[-31.0742, 150.8362]",2020,7,3,18.9
"[-31.0742, 150.8362]",2020,7,4,11.4
"[-31.0742, 150.8362]",2020,7,5,14.1
"[-31.0742, 150.8362]",2020,7,6,17.7
"[-31.0742, 150.8362]",2020,7,7,18.6
"[-31.0742, 150.8362]",2020,7,8,19.4
"[-31.0742, 150.8362]",2020,7,9,19
"[-31.0742, 150.8362]",2020,7,10,19.8
"[-31.0742, 150.8362]",2020,7,11,17
"[-31.0742, 150.8362]",2020,7,12,17.4
"[-31.0742, 150.8362]",2020,7,13,12.3
"[-31.0742, 150.8362]",2020,7,14,13.6
"[-31.0742, 150.8362]",2020,7,15,15.7
"[-31.0742, 150.8362]",2020,7,16,15.1
"[-31.0742, 150.8362]",2020,7,17,17.6
"[-31.0742, 150.8362]",2020,7,18,18.1
"[-31.0742, 150.8362]",2020,7,19,19.2
"[-31.0742, 150.8362]",2020,7,20,16.5
"[-31.0742, 150.8362]",2020,7,21,17.7
"[-31.0742, 150.8362]",2020,7,22,17.5
"[-31.0742, 150.8362]",2020,7,23,19.4
"[-31.0742, 150.8362]",2020,7,24,21
"[-31.0742, 150.8362]",2020,7,25,15.7
"[-31.0742, 150.8362]",2020,7,26,14.7
"[-31.0742, 150.8362]",2020,7,27,11
"[-31.0742, 150.8362]",2020,7,28,13
"[-31.0742, 150.8362]",2020,7,29,16.6
"[-31.0742, 150.8362]",2020,7,30,18
"[-31.0742, 150.8362]",2020,7,31,17.2
