Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-31.8895, 152.5120]",2020,7,1,20.4
"[-31.8895, 152.5120]",2020,7,2,24.2
"[-31.8895, 152.5120]",2020,7,3,22
"[-31.8895, 152.5120]",2020,7,4,14.7
"[-31.8895, 152.5120]",2020,7,5,17.6
"[-31.8895, 152.5120]",2020,7,6,18.7
"[-31.8895, 152.5120]",2020,7,7,18.6
"[-31.8895, 152.5120]",2020,7,8,16.8
"[-31.8895, 152.5120]",2020,7,9,19.4
"[-31.8895, 152.5120]",2020,7,10,19.5
"[-31.8895, 152.5120]",2020,7,11,20.5
"[-31.8895, 152.5120]",2020,7,12,18.3
"[-31.8895, 152.5120]",2020,7,13,17.1
"[-31.8895, 152.5120]",2020,7,14,16
"[-31.8895, 152.5120]",2020,7,15,17.1
"[-31.8895, 152.5120]",2020,7,16,16.3
"[-31.8895, 152.5120]",2020,7,17,15.8
"[-31.8895, 152.5120]",2020,7,18,17.6
"[-31.8895, 152.5120]",2020,7,19,20.4
"[-31.8895, 152.5120]",2020,7,20,19
"[-31.8895, 152.5120]",2020,7,21,17.6
"[-31.8895, 152.5120]",2020,7,22,17.4
"[-31.8895, 152.5120]",2020,7,23,18.7
"[-31.8895, 152.5120]",2020,7,24,16.9
"[-31.8895, 152.5120]",2020,7,25,17.6
"[-31.8895, 152.5120]",2020,7,26,17.2
"[-31.8895, 152.5120]",2020,7,27,21.2
"[-31.8895, 152.5120]",2020,7,28,19.1
"[-31.8895, 152.5120]",2020,7,29,20.6
"[-31.8895, 152.5120]",2020,7,30,19
"[-31.8895, 152.5120]",2020,7,31,18.1
