Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-27.5425, 151.9134] ",2020,7,1,18
"[-27.5425, 151.9134] ",2020,7,2,19.8
"[-27.5425, 151.9134] ",2020,7,3,20.9
"[-27.5425, 151.9134] ",2020,7,4,13.7
"[-27.5425, 151.9134] ",2020,7,5,15.3
"[-27.5425, 151.9134] ",2020,7,6,17.1
"[-27.5425, 151.9134] ",2020,7,7,18.6
"[-27.5425, 151.9134] ",2020,7,8,19.2
"[-27.5425, 151.9134] ",2020,7,9,13.7
"[-27.5425, 151.9134] ",2020,7,10,15.2
"[-27.5425, 151.9134] ",2020,7,11,20.3
"[-27.5425, 151.9134] ",2020,7,12,16.1
"[-27.5425, 151.9134] ",2020,7,13,14.8
"[-27.5425, 151.9134] ",2020,7,14,11.2
"[-27.5425, 151.9134] ",2020,7,15,15.3
"[-27.5425, 151.9134] ",2020,7,16,
"[-27.5425, 151.9134] ",2020,7,17,18
"[-27.5425, 151.9134] ",2020,7,18,18.8
"[-27.5425, 151.9134] ",2020,7,19,19.9
"[-27.5425, 151.9134] ",2020,7,20,18.8
"[-27.5425, 151.9134] ",2020,7,21,16.4
"[-27.5425, 151.9134] ",2020,7,22,13.3
"[-27.5425, 151.9134] ",2020,7,23,14.1
"[-27.5425, 151.9134] ",2020,7,24,16.5
"[-27.5425, 151.9134] ",2020,7,25,15.3
"[-27.5425, 151.9134] ",2020,7,26,17
"[-27.5425, 151.9134] ",2020,7,27,14.1
"[-27.5425, 151.9134] ",2020,7,28,15
"[-27.5425, 151.9134] ",2020,7,29,17.3
"[-27.5425, 151.9134] ",2020,7,30,18.9
"[-27.5425, 151.9134] ",2020,7,31,18
