Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-19.2483, 146.7661]",2020,7,1,26.7
"[-19.2483, 146.7661]",2020,7,2,26.2
"[-19.2483, 146.7661]",2020,7,3,25.9
"[-19.2483, 146.7661]",2020,7,4,28
"[-19.2483, 146.7661]",2020,7,5,23.6
"[-19.2483, 146.7661]",2020,7,6,24.2
"[-19.2483, 146.7661]",2020,7,7,25
"[-19.2483, 146.7661]",2020,7,8,26.5
"[-19.2483, 146.7661]",2020,7,9,25.4
"[-19.2483, 146.7661]",2020,7,10,26.4
"[-19.2483, 146.7661]",2020,7,11,26.8
"[-19.2483, 146.7661]",2020,7,12,27.1
"[-19.2483, 146.7661]",2020,7,13,26
"[-19.2483, 146.7661]",2020,7,14,24.9
"[-19.2483, 146.7661]",2020,7,15,22.8
"[-19.2483, 146.7661]",2020,7,16,24.3
"[-19.2483, 146.7661]",2020,7,17,23.4
"[-19.2483, 146.7661]",2020,7,18,22.7
"[-19.2483, 146.7661]",2020,7,19,24.6
"[-19.2483, 146.7661]",2020,7,20,25.6
"[-19.2483, 146.7661]",2020,7,21,24.4
"[-19.2483, 146.7661]",2020,7,22,22
"[-19.2483, 146.7661]",2020,7,23,24.4
"[-19.2483, 146.7661]",2020,7,24,23.4
"[-19.2483, 146.7661]",2020,7,25,24.4
"[-19.2483, 146.7661]",2020,7,26,27.1
"[-19.2483, 146.7661]",2020,7,27,27.5
"[-19.2483, 146.7661]",2020,7,28,25.5
"[-19.2483, 146.7661]",2020,7,29,25
"[-19.2483, 146.7661]",2020,7,30,25.8
"[-19.2483, 146.7661]",2020,7,31,25.2
