Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-37.7408, 145.0972]",2020,7,1,18
"[-37.7408, 145.0972]",2020,7,2,13.8
"[-37.7408, 145.0972]",2020,7,3,9.5
"[-37.7408, 145.0972]",2020,7,4,14.4
"[-37.7408, 145.0972]",2020,7,5,12.3
"[-37.7408, 145.0972]",2020,7,6,12.5
"[-37.7408, 145.0972]",2020,7,7,11.7
"[-37.7408, 145.0972]",2020,7,8,15.5
"[-37.7408, 145.0972]",2020,7,9,15.9
"[-37.7408, 145.0972]",2020,7,10,16.5
"[-37.7408, 145.0972]",2020,7,11,10.2
"[-37.7408, 145.0972]",2020,7,12,13.1
"[-37.7408, 145.0972]",2020,7,13,15.2
"[-37.7408, 145.0972]",2020,7,14,13.8
"[-37.7408, 145.0972]",2020,7,15,15.4
"[-37.7408, 145.0972]",2020,7,16,12.1
"[-37.7408, 145.0972]",2020,7,17,11
"[-37.7408, 145.0972]",2020,7,18,12.3
"[-37.7408, 145.0972]",2020,7,19,14.7
"[-37.7408, 145.0972]",2020,7,20,13.2
"[-37.7408, 145.0972]",2020,7,21,12.9
"[-37.7408, 145.0972]",2020,7,22,12.2
"[-37.7408, 145.0972]",2020,7,23,10.5
"[-37.7408, 145.0972]",2020,7,24,13.2
"[-37.7408, 145.0972]",2020,7,25,13.1
"[-37.7408, 145.0972]",2020,7,26,12.3
"[-37.7408, 145.0972]",2020,7,27,13.2
"[-37.7408, 145.0972]",2020,7,28,15.6
"[-37.7408, 145.0972]",2020,7,29,16.3
"[-37.7408, 145.0972]",2020,7,30,14.6
"[-37.7408, 145.0972]",2020,7,31,16.4
