Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-35.1583, 147.4575]",2020,7,1,15.9
"[-35.1583, 147.4575]",2020,7,2,14.2
"[-35.1583, 147.4575]",2020,7,3,11.2
"[-35.1583, 147.4575]",2020,7,4,10.3
"[-35.1583, 147.4575]",2020,7,5,11.9
"[-35.1583, 147.4575]",2020,7,6,7
"[-35.1583, 147.4575]",2020,7,7,12.5
"[-35.1583, 147.4575]",2020,7,8,15.2
"[-35.1583, 147.4575]",2020,7,9,15.9
"[-35.1583, 147.4575]",2020,7,10,15.4
"[-35.1583, 147.4575]",2020,7,11,11.2
"[-35.1583, 147.4575]",2020,7,12,11.8
"[-35.1583, 147.4575]",2020,7,13,13
"[-35.1583, 147.4575]",2020,7,14,15.6
"[-35.1583, 147.4575]",2020,7,15,14.8
"[-35.1583, 147.4575]",2020,7,16,13.2
"[-35.1583, 147.4575]",2020,7,17,14.1
"[-35.1583, 147.4575]",2020,7,18,14.3
"[-35.1583, 147.4575]",2020,7,19,15.7
"[-35.1583, 147.4575]",2020,7,20,12.3
"[-35.1583, 147.4575]",2020,7,21,13.9
"[-35.1583, 147.4575]",2020,7,22,14.8
"[-35.1583, 147.4575]",2020,7,23,7.6
"[-35.1583, 147.4575]",2020,7,24,14.7
"[-35.1583, 147.4575]",2020,7,25,12.3
"[-35.1583, 147.4575]",2020,7,26,14.3
"[-35.1583, 147.4575]",2020,7,27,13.7
"[-35.1583, 147.4575]",2020,7,28,18
"[-35.1583, 147.4575]",2020,7,29,15.1
"[-35.1583, 147.4575]",2020,7,30,12
"[-35.1583, 147.4575]",2020,7,31,15.6
