Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-36.4205, 146.3056]",2020,7,1,16
"[-36.4205, 146.3056]",2020,7,2,12.4
"[-36.4205, 146.3056]",2020,7,3,9.5
"[-36.4205, 146.3056]",2020,7,4,10.5
"[-36.4205, 146.3056]",2020,7,5,13.6
"[-36.4205, 146.3056]",2020,7,6,13.6
"[-36.4205, 146.3056]",2020,7,7,6.2
"[-36.4205, 146.3056]",2020,7,8,14.6
"[-36.4205, 146.3056]",2020,7,9,15.7
"[-36.4205, 146.3056]",2020,7,10,13.2
"[-36.4205, 146.3056]",2020,7,11,11.2
"[-36.4205, 146.3056]",2020,7,12,9.5
"[-36.4205, 146.3056]",2020,7,13,15.2
"[-36.4205, 146.3056]",2020,7,14,16.5
"[-36.4205, 146.3056]",2020,7,15,15.4
"[-36.4205, 146.3056]",2020,7,16,13.5
"[-36.4205, 146.3056]",2020,7,17,14.4
"[-36.4205, 146.3056]",2020,7,18,12.7
"[-36.4205, 146.3056]",2020,7,19,14.8
"[-36.4205, 146.3056]",2020,7,20,12.7
"[-36.4205, 146.3056]",2020,7,21,15.4
"[-36.4205, 146.3056]",2020,7,22,13.7
"[-36.4205, 146.3056]",2020,7,23,11.2
"[-36.4205, 146.3056]",2020,7,24,13.5
"[-36.4205, 146.3056]",2020,7,25,15.8
"[-36.4205, 146.3056]",2020,7,26,17.1
"[-36.4205, 146.3056]",2020,7,27,15.7
"[-36.4205, 146.3056]",2020,7,28,18.5
"[-36.4205, 146.3056]",2020,7,29,15.8
"[-36.4205, 146.3056]",2020,7,30,15.5
"[-36.4205, 146.3056]",2020,7,31,14.8
