Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-38.2867, 142.4522]",2020,7,1,17.3
"[-38.2867, 142.4522]",2020,7,2,12.5
"[-38.2867, 142.4522]",2020,7,3,10.9
"[-38.2867, 142.4522]",2020,7,4,13.7
"[-38.2867, 142.4522]",2020,7,5,12.5
"[-38.2867, 142.4522]",2020,7,6,13.7
"[-38.2867, 142.4522]",2020,7,7,12.7
"[-38.2867, 142.4522]",2020,7,8,11
"[-38.2867, 142.4522]",2020,7,9,13.2
"[-38.2867, 142.4522]",2020,7,10,14
"[-38.2867, 142.4522]",2020,7,11,11.8
"[-38.2867, 142.4522]",2020,7,12,14.6
"[-38.2867, 142.4522]",2020,7,13,15.2
"[-38.2867, 142.4522]",2020,7,14,13.5
"[-38.2867, 142.4522]",2020,7,15,13.2
"[-38.2867, 142.4522]",2020,7,16,12.7
"[-38.2867, 142.4522]",2020,7,17,13.4
"[-38.2867, 142.4522]",2020,7,18,10.5
"[-38.2867, 142.4522]",2020,7,19,12.2
"[-38.2867, 142.4522]",2020,7,20,12.9
"[-38.2867, 142.4522]",2020,7,21,12.7
"[-38.2867, 142.4522]",2020,7,22,12
"[-38.2867, 142.4522]",2020,7,23,11.2
"[-38.2867, 142.4522]",2020,7,24,12.9
"[-38.2867, 142.4522]",2020,7,25,12.4
"[-38.2867, 142.4522]",2020,7,26,11.8
"[-38.2867, 142.4522]",2020,7,27,13.6
"[-38.2867, 142.4522]",2020,7,28,14.4
"[-38.2867, 142.4522]",2020,7,29,15.3
"[-38.2867, 142.4522]",2020,7,30,14.4
"[-38.2867, 142.4522]",2020,7,31,14.7
