Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.0539, 137.5206]",2020,7,1,24.3
"[-33.0539, 137.5206]",2020,7,2,
"[-33.0539, 137.5206]",2020,7,3,17.9
"[-33.0539, 137.5206]",2020,7,4,14.2
"[-33.0539, 137.5206]",2020,7,5,15.2
"[-33.0539, 137.5206]",2020,7,6,12.9
"[-33.0539, 137.5206]",2020,7,7,14.5
"[-33.0539, 137.5206]",2020,7,8,16.2
"[-33.0539, 137.5206]",2020,7,9,17.8
"[-33.0539, 137.5206]",2020,7,10,17.2
"[-33.0539, 137.5206]",2020,7,11,12.7
"[-33.0539, 137.5206]",2020,7,12,15
"[-33.0539, 137.5206]",2020,7,13,13.7
"[-33.0539, 137.5206]",2020,7,14,14.8
"[-33.0539, 137.5206]",2020,7,15,18.8
"[-33.0539, 137.5206]",2020,7,16,17.1
"[-33.0539, 137.5206]",2020,7,17,21.9
"[-33.0539, 137.5206]",2020,7,18,21.4
"[-33.0539, 137.5206]",2020,7,19,18.5
"[-33.0539, 137.5206]",2020,7,20,14.3
"[-33.0539, 137.5206]",2020,7,21,14.3
"[-33.0539, 137.5206]",2020,7,22,13
"[-33.0539, 137.5206]",2020,7,23,16.3
"[-33.0539, 137.5206]",2020,7,24,20.3
"[-33.0539, 137.5206]",2020,7,25,15.7
"[-33.0539, 137.5206]",2020,7,26,14
"[-33.0539, 137.5206]",2020,7,27,16.2
"[-33.0539, 137.5206]",2020,7,28,14.2
"[-33.0539, 137.5206]",2020,7,29,21
"[-33.0539, 137.5206]",2020,7,30,15.7
"[-33.0539, 137.5206]",2020,7,31,22
