Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-34.4734, 150.9118]",2020,7,1,20.5
"[-34.4734, 150.9118]",2020,7,2,22.9
"[-34.4734, 150.9118]",2020,7,3,16.6
"[-34.4734, 150.9118]",2020,7,4,15.6
"[-34.4734, 150.9118]",2020,7,5,17.7
"[-34.4734, 150.9118]",2020,7,6,16.5
"[-34.4734, 150.9118]",2020,7,7,16.3
"[-34.4734, 150.9118]",2020,7,8,15.2
"[-34.4734, 150.9118]",2020,7,9,17.3
"[-34.4734, 150.9118]",2020,7,10,17.6
"[-34.4734, 150.9118]",2020,7,11,16.8
"[-34.4734, 150.9118]",2020,7,12,17.5
"[-34.4734, 150.9118]",2020,7,13,16.4
"[-34.4734, 150.9118]",2020,7,14,15.4
"[-34.4734, 150.9118]",2020,7,15,14.7
"[-34.4734, 150.9118]",2020,7,16,16.2
"[-34.4734, 150.9118]",2020,7,17,15.7
"[-34.4734, 150.9118]",2020,7,18,17.1
"[-34.4734, 150.9118]",2020,7,19,19.4
"[-34.4734, 150.9118]",2020,7,20,17.3
"[-34.4734, 150.9118]",2020,7,21,15.9
"[-34.4734, 150.9118]",2020,7,22,17.8
"[-34.4734, 150.9118]",2020,7,23,16.8
"[-34.4734, 150.9118]",2020,7,24,17.9
"[-34.4734, 150.9118]",2020,7,25,18.8
"[-34.4734, 150.9118]",2020,7,26,17.4
"[-34.4734, 150.9118]",2020,7,27,17
"[-34.4734, 150.9118]",2020,7,28,17.3
"[-34.4734, 150.9118]",2020,7,29,18.2
"[-34.4734, 150.9118]",2020,7,30,17.2
"[-34.4734, 150.9118]",2020,7,31,15.2
