Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-23.1364, 150.7506]",2020,7,1,22.1
"[-23.1364, 150.7506]",2020,7,2,22
"[-23.1364, 150.7506]",2020,7,3,22.6
"[-23.1364, 150.7506]",2020,7,4,23.7
"[-23.1364, 150.7506]",2020,7,5,19.2
"[-23.1364, 150.7506]",2020,7,6,21
"[-23.1364, 150.7506]",2020,7,7,22
"[-23.1364, 150.7506]",2020,7,8,21.5
"[-23.1364, 150.7506]",2020,7,9,22
"[-23.1364, 150.7506]",2020,7,10,22.1
"[-23.1364, 150.7506]",2020,7,11,21.9
"[-23.1364, 150.7506]",2020,7,12,22.1
"[-23.1364, 150.7506]",2020,7,13,23.7
"[-23.1364, 150.7506]",2020,7,14,21.4
"[-23.1364, 150.7506]",2020,7,15,21.7
"[-23.1364, 150.7506]",2020,7,16,22.3
"[-23.1364, 150.7506]",2020,7,17,20.7
"[-23.1364, 150.7506]",2020,7,18,21.4
"[-23.1364, 150.7506]",2020,7,19,20.9
"[-23.1364, 150.7506]",2020,7,20,22.1
"[-23.1364, 150.7506]",2020,7,21,21.1
"[-23.1364, 150.7506]",2020,7,22,18.9
"[-23.1364, 150.7506]",2020,7,23,18.7
"[-23.1364, 150.7506]",2020,7,24,21.7
"[-23.1364, 150.7506]",2020,7,25,21.7
"[-23.1364, 150.7506]",2020,7,26,26
"[-23.1364, 150.7506]",2020,7,27,22.8
"[-23.1364, 150.7506]",2020,7,28,21.2
"[-23.1364, 150.7506]",2020,7,29,22
"[-23.1364, 150.7506]",2020,7,30,23.5
"[-23.1364, 150.7506]",2020,7,31,21.9
